episode,simulated_reward,rolling_mean_reward_200
1936,0.625,0.521875
1937,0.5,0.523125
1938,0.125,0.520625
1939,0.625,0.520625
1940,0.625,0.520625
1941,0.625,0.520625
1942,0.625,0.520625
1943,0.0,0.5175
1944,0.625,0.5175
1945,0.625,0.5175
1946,0.625,0.5175
1947,0.625,0.519375
1948,0.625,0.519375
1949,0.625,0.520625
1950,0.625,0.520625
1951,0.625,0.523125
1952,0.625,0.523125
1953,0.625,0.523125
1954,0.625,0.523125
1955,0.625,0.523125
1956,0.625,0.523125
1957,0.625,0.523125
1958,0.625,0.524375
1959,0.625,0.52625
1960,0.625,0.52625
1961,0.625,0.52625
1962,0.625,0.52625
1963,0.625,0.52625
1964,0.625,0.52625
1965,0.625,0.52625
1966,0.0,0.523125
1967,0.125,0.520625
1968,0.625,0.520625
1969,0.625,0.520625
1970,0.625,0.520625
1971,0.125,0.518125
1972,0.625,0.518125
1973,0.625,0.518125
1974,0.625,0.520625
1975,0.625,0.5225
1976,0.625,0.5225
1977,0.25,0.520625
1978,0.625,0.523125
1979,0.375,0.521875
1980,0.625,0.521875
1981,0.625,0.521875
1982,0.625,0.521875
1983,0.125,0.52125
1984,0.625,0.52125
1985,0.125,0.521875
1986,0.625,0.524375
1987,0.625,0.524375
1988,0.0,0.52375
1989,0.625,0.52375
1990,0.625,0.525625
1991,0.625,0.525625
1992,0.0,0.5225
1993,0.625,0.5225
1994,0.625,0.525
1995,0.625,0.525
1996,0.0,0.521875
1997,0.625,0.521875
1998,0.625,0.521875
1999,0.625,0.521875
2000,0.625,0.5225
2001,0.625,0.5225
2002,0.625,0.525625
2003,0.625,0.525625
2004,0.25,0.525
2005,0.625,0.525
2006,0.375,0.52375
2007,0.625,0.52375
2008,0.625,0.52625
2009,0.625,0.52875
2010,0.625,0.52875
2011,0.625,0.53
2012,0.375,0.52875
2013,0.625,0.52875
2014,0.625,0.52875
2015,0.625,0.530625
2016,0.625,0.530625
2017,0.625,0.530625
2018,0.625,0.530625
2019,0.625,0.530625
2020,0.0,0.5275
2021,0.625,0.530625
2022,0.0,0.5275
2023,0.625,0.5275
2024,0.625,0.529375
2025,0.0,0.52625
2026,0.625,0.52625
2027,0.625,0.52625
2028,0.0,0.524375
2029,0.625,0.524375
2030,0.625,0.524375
2031,0.0,0.52375
2032,0.625,0.52375
2033,0.125,0.52125
2034,0.625,0.5225
2035,0.0,0.519375
2036,0.625,0.519375
2037,0.625,0.519375
2038,0.625,0.519375
2039,0.625,0.5225
2040,0.625,0.5225
2041,0.625,0.5225
2042,0.125,0.5225
2043,0.0,0.519375
2044,0.625,0.519375
2045,0.625,0.519375
2046,0.625,0.5225
2047,0.625,0.5225
2048,0.625,0.5225
2049,0.625,0.5225
2050,0.625,0.5225
2051,0.625,0.525625
2052,0.625,0.525625
2053,0.625,0.525625
2054,0.625,0.525625
2055,0.625,0.528125
2056,0.125,0.525625
2057,0.625,0.525625
2058,0.625,0.525625
2059,0.125,0.523125
2060,0.625,0.525
2061,0.25,0.523125
2062,0.625,0.523125
2063,0.625,0.523125
2064,0.625,0.523125
2065,0.625,0.523125
2066,0.625,0.525
2067,0.625,0.528125
2068,0.625,0.528125
2069,0.625,0.528125
2070,0.625,0.528125
2071,0.625,0.528125
2072,0.625,0.528125
2073,0.625,0.528125
2074,0.25,0.52625
2075,0.625,0.52875
2076,0.625,0.52875
2077,0.625,0.52875
2078,0.625,0.52875
2079,0.625,0.53
2080,0.625,0.53
2081,0.625,0.53
2082,0.125,0.5275
2083,0.625,0.53
2084,0.625,0.53
2085,0.625,0.53
2086,0.625,0.533125
2087,0.625,0.533125
2088,0.625,0.533125
2089,0.25,0.53125
2090,0.625,0.53125
2091,0.625,0.53125
2092,0.625,0.53125
2093,0.625,0.534375
2094,0.625,0.534375
2095,0.125,0.531875
2096,0.625,0.531875
2097,0.625,0.531875
2098,0.0,0.52875
2099,0.625,0.52875
2100,0.625,0.52875
2101,0.625,0.52875
2102,0.625,0.52875
2103,0.625,0.52875
2104,0.625,0.52875
2105,0.625,0.52875
2106,0.625,0.52875
2107,0.625,0.52875
2108,0.625,0.52875
2109,0.625,0.52875
2110,0.625,0.531875
2111,0.125,0.529375
2112,0.625,0.529375
2113,0.625,0.529375
2114,0.625,0.529375
2115,0.125,0.529375
2116,0.625,0.529375
2117,0.625,0.529375
2118,0.625,0.529375
2119,0.625,0.529375
2120,0.125,0.526875
2121,0.625,0.526875
2122,0.625,0.526875
2123,0.625,0.526875
2124,0.625,0.526875
2125,0.625,0.52875
2126,0.625,0.52875
2127,0.625,0.53125
2128,0.625,0.53125
2129,0.625,0.5325
